userid,acc_id,time,type,sequence,noofchanges,platform
3,1425022273,17-06-2024 06:54,ABPrune,0,0,adwords
3,1425022273,17-06-2024 06:54,ABPruneRSA,0,0,adwords
3,1425022273,17-06-2024 06:54,AdGroupsWithoutRSA,0,0,adwords
3,1425022273,17-06-2024 06:54,AgeRangeBidder,0,0,adwords
3,1425022273,17-06-2024 06:54,AssetGroupsWithoutAudienceSignals,0,4,adwords
3,1425022273,17-06-2024 06:54,CallExtensionRecommendations,0,0,adwords
3,1425022273,17-06-2024 06:54,CalloutExtensionRecommendations,0,0,adwords
3,1425022273,17-06-2024 06:54,CampaignBudgetRecommendations,0,0,adwords
3,1425022273,17-06-2024 06:54,ConflictingNegativeKeywords,0,0,adwords
3,1425022273,17-06-2024 06:54,CpnMobilePlacementExclusion,0,0,adwords
3,1425022273,17-06-2024 06:54,CpnWebsitePlacementExclusion,0,0,adwords
3,1425022273,17-06-2024 06:54,CpnYTChannelPlacementExclusion,0,0,adwords
3,1425022273,17-06-2024 06:54,CpnYTVideoPlacementExclusion,0,0,adwords
3,1425022273,17-06-2024 06:54,DSASculptor,0,0,adwords
3,1425022273,17-06-2024 06:54,Duplicate,0,0,adwords
3,1425022273,17-06-2024 06:54,FirstPageBridger,0,0,adwords
3,1425022273,17-06-2024 06:54,GenderBidder,0,0,adwords
3,1425022273,17-06-2024 06:54,Grabber,0,0,adwords
3,1425022273,17-06-2024 06:54,KeywordRecommendations,0,0,adwords
3,1425022273,17-06-2024 06:54,Lasso,0,0,adwords
3,1425022273,17-06-2024 06:54,MaximizeConversionsOptInRecommendations,0,0,adwords
3,1425022273,17-06-2024 06:54,PmaxMobilePlacementExclusion,0,0,adwords
3,1425022273,17-06-2024 06:54,PmaxWebsitePlacementExclusion,0,0,adwords
3,1425022273,17-06-2024 06:54,PmaxYTChannelPlacementExclusion,0,0,adwords
3,1425022273,17-06-2024 06:54,PmaxYTVideoPlacementExclusion,0,0,adwords
3,1425022273,17-06-2024 06:54,RemovedKeywordsWithConversions,0,0,adwords
3,1425022273,17-06-2024 06:54,RsaWithPoorAdStrengthOrFewAssets,0,0,adwords
3,1425022273,17-06-2024 06:54,Sculptor,0,0,adwords
3,1425022273,17-06-2024 06:54,SearchPartnersOptInRecommendations,0,0,adwords
3,1425022273,17-06-2024 06:54,ShoppingBidder,0,0,adwords
3,1425022273,17-06-2024 06:54,SitelinkAssetRecommendations,0,0,adwords
3,1425022273,17-06-2024 06:54,TargetCpaOptInRecommendations,0,0,adwords
3,1425022273,17-06-2024 06:54,TargetRoasOptInRecommendations,0,0,adwords
3,1425022273,17-06-2024 06:54,UseBroadMatchKeywordRecommendations,0,0,adwords
3,4911283850,17-06-2024 06:54,ABPrune,0,0,adwords
3,4911283850,17-06-2024 06:54,ABPruneRSA,0,0,adwords
3,4911283850,17-06-2024 06:54,AdGroupsWithoutRSA,0,0,adwords
3,4911283850,17-06-2024 06:54,AgeRangeBidder,0,0,adwords
3,4911283850,17-06-2024 06:54,AssetGroupsWithoutAudienceSignals,0,0,adwords
3,4911283850,17-06-2024 06:54,CallExtensionRecommendations,0,0,adwords
3,4911283850,17-06-2024 06:54,CalloutExtensionRecommendations,0,0,adwords
3,4911283850,17-06-2024 06:54,CampaignBudgetRecommendations,0,0,adwords
3,4911283850,17-06-2024 06:54,ConflictingNegativeKeywords,0,0,adwords
3,4911283850,17-06-2024 06:54,CpnMobilePlacementExclusion,0,0,adwords
3,4911283850,17-06-2024 06:54,CpnWebsitePlacementExclusion,0,0,adwords
3,4911283850,17-06-2024 06:54,CpnYTChannelPlacementExclusion,0,0,adwords
3,4911283850,17-06-2024 06:54,CpnYTVideoPlacementExclusion,0,0,adwords
3,4911283850,17-06-2024 06:54,DSASculptor,0,0,adwords
3,4911283850,17-06-2024 06:54,Duplicate,0,0,adwords
3,4911283850,17-06-2024 06:54,FirstPageBridger,0,0,adwords
3,4911283850,17-06-2024 06:54,GenderBidder,0,0,adwords
3,4911283850,17-06-2024 06:54,Grabber,0,0,adwords
3,4911283850,17-06-2024 06:54,KeywordRecommendations,0,0,adwords
3,4911283850,17-06-2024 06:54,Lasso,0,0,adwords
3,4911283850,17-06-2024 06:54,MaximizeConversionsOptInRecommendations,0,0,adwords
3,4911283850,17-06-2024 06:54,PmaxMobilePlacementExclusion,0,0,adwords
3,4911283850,17-06-2024 06:54,PmaxWebsitePlacementExclusion,0,0,adwords
3,4911283850,17-06-2024 06:54,PmaxYTChannelPlacementExclusion,0,0,adwords
3,4911283850,17-06-2024 06:54,PmaxYTVideoPlacementExclusion,0,0,adwords
3,4911283850,17-06-2024 06:54,RemovedKeywordsWithConversions,0,0,adwords
3,4911283850,17-06-2024 06:54,RsaWithPoorAdStrengthOrFewAssets,0,0,adwords
3,4911283850,17-06-2024 06:54,Sculptor,0,0,adwords
3,4911283850,17-06-2024 06:54,SearchPartnersOptInRecommendations,0,0,adwords
3,4911283850,17-06-2024 06:54,ShoppingBidder,0,0,adwords
3,4911283850,17-06-2024 06:54,SitelinkAssetRecommendations,0,0,adwords
3,4911283850,17-06-2024 06:54,TargetCpaOptInRecommendations,0,0,adwords
3,4911283850,17-06-2024 06:54,TargetRoasOptInRecommendations,0,0,adwords
3,4911283850,17-06-2024 06:54,UseBroadMatchKeywordRecommendations,0,0,adwords
